Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Slippers
- Toiletries
- Wood for the fireplace","
- Downtown (1.8 KM)
- Ski school (1.8 KM)
- Ski slope : Bellecôte (100 M)",3,"
- Dining room
- Fireplace
- Private parking space
- Reading room
- Ski locker
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Courchevel 1850, Courchevel, Northern Alps, France, Europe",Appartement Horizon Blanc 2,"
- Cards and board games
- Internet access (wifi)
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Slopes less than 100 m away","Superb 3 bedroom apartment, located in the Nogentil area, with an exceptional view of the mountains, ski locker and parking space.","
- Cooker hood
- Dish washer
- Dryer
- Fondue set
- Freezer
- Fully equipped kitchen
- Induction stove
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator
- Washing machine",6,,,,,1073,"
- Balcony",
"
- Chef/Cook
- Concierge service
- Domestic staff
- Electricity, water, gas
- Garden/Pool maintenance
- Housekeeping
- Security service
- Villa Manager",,1,"
- Air conditioning in bedrooms only
- Air fan
- Dining room
- Fax
- Hair dryers
- Temp. controlled wine storage","
- Baby sitting
- Cancellation insurance
- Car
- Driver (8 hours)
- Extra bed
- Laundry service
- Masseuse",5,"South West - Canggu, Bali, Indonesia, Asia",Villa Kalyani,"
- Billiard / Pool table
- Books
- Cards and board games
- Computer
- DVD library
- DVD player
- Internet access (wifi)
- iPod dock
- iPods
- Massage table
- Power generator
- Printer
- Private pool
- Sound system
- Stereo sound system
- TV
- Video games
- Wii",,,,,,"Beautiful property just 1 km from the beach, 5 bedrooms and 5 bathrooms, a reception terrace","
- Coffee maker
- Dryer
- Fully equipped kitchen
- Iron
- Microwave
- Oven
- Washing machine",10,,,"
- Bikes
- Car
- Safe deposit box
- Security system","
- Baby cot
- Highchair",949,"
- Barbecue
- Natural Gas barbecue
- Parking",1054
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Intermediate cleaning in the middle of the stay
- Meet and greet at local office
- Slippers
- Toiletries
- Welcome hamper
- Wood for the fireplace","
- Downtown (100 M)
- Ski school (200 M)
- Ski slope : Provères (100 M)
- Skilift : Grangettes (100 M)",4,"
- Dining room
- Fireplace
- Living room
- Netflix
- Private parking space
- Ski locker","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",4,"Courchevel 1550, Courchevel, Northern Alps, France, Europe",Appartement Alpamayor Algonquin,"
- Internet access (wifi)
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Slopes less than 100 m away","Warm and modern flat located in Courchevel 1550 Village, close to the slopes and the ski lifts.","
- Blender, mixeur
- Combo washer-dryer
- Dish washer
- Fondue set
- Fully equipped kitchen
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Vitro-ceramic burners",10,,,"
- Elevator",,893,"
- Balcony",
"
- 5 course dinner: 6 evenings
- Afternoon tea
- Bathrobe
- Bed and household linens
- Breakfast
- Concierge service
- Daily house cleaning
- Electricity, water, gas
- Fresh flowers
- Internet WIFI
- Selection of bath products
- Tea and coffee
- Wood for the fireplace","
- Airport (120 KM)",3,"
- Dining &amp; living room is the same area
- Hair dryer
- Terrace or balcony","
- Cancellation insurance
- Helicopter transfer
- In-house beauty treatments
- Massage",3,"Dolomites, Alps, Italy, Europe",Appartement Panoramica,"
- Internet access (wifi)
- Ski room
- TV","
- Bed &amp; Breakfast
- Chef service upon request (advance notice required)",,"
- Pool heated and Hammam
- Spa",,,"Beautiful 3 bedroom apartment, located in Selva within a four star Boutique Hotel, in the Dolomites. Access of the hotels facilities (in/outdoor heated panoramic pool, beauty center, wellness area with Finnish sauna, Hammam, ice shower, water beds and infrared loungers).","
- Fully equipped kitchen",5,,,,"
- Children welcome",1921,,1210
"
- Beach towels
- Bed and household linens
- Concierge service
- Cot + High Chair
- Electricity, water, gas
- Sheets and towels changed once a week
- Toiletries
- Weekly house cleaning
- Welcome hamper","
- Airport (40 KM)
- Beach (0.05 KM)
- Downtown (4 KM)
- Supermarket (5 KM)
- Bastia (20 KM)
- Restaurants / Shops (0.3 KM)",4,"
- Air conditioning
- Hammocks
- Private parking space","
- Airport transfer
- Cancellation insurance
- Car with driver
- Chef / Cook
- Child care, Baby sitting",4,"Cap Corse, Corsica, France, Europe",Villa Lune,"
- Internet access (wifi)
- Outdoor private swimming pool
- TV",,,,,"
- Direct sea access","Beautiful and modern villa with 4 bedrooms in Pietracorbara (Cap Corse), private outdoor swimming pool, spectacular view over the sea and mountains, 50m from the beach","
- Combo fridge - freezer
- Cooking utensils
- Dish washer
- Fully equipped kitchen
- Ice maker
- Induction stove
- Microwave
- Oven
- Toaster
- Washing machine",8 (10 max.),,,,"
- Pool safety system",982,"
- Garden
- Outdoor dining areas
- Pool lounge chairs
- Terrace(s)",536
"
- Bed linens
- Concierge service
- Electricity, water, gas
- Extra bed
- Housecleaning upon departure
- Internet WIFI
- Selection of bath products
- Towels",,6,"
- Air conditioning
- Dining room
- Fireplace in living room
- Living room
- Space heaters in each room
- Terrace
- TV lounge","
- Activities booking (sled dogs, paragliding, hot air ballooning, helicopter tours etc...)
- Child care, Baby sitting
- Cost of ski equipment hire
- Helicopter transfer
- Lift pass delivery service
- Massage
- Private ski instruction or ski school
- Ski pass
- Transfer
- Villa pre-stocking",6,"Verbier, Swiss Alps, Switzerland, Europe",Chalet Grisons,"
- DVD player
- Hi-fi sound system
- Internet access (broadband, cable)
- Satellite or cable or Internet TV
- TV","
- This house is self catering",,,,,"Luxury 6 bedrooms penthouse apartment, very center of Verbier, close from the slopes, cathedral ceilings bringing the sun, parking spaces.","
- Fully equipped kitchen",10 (12 max.),,,,"
- Children welcome",,"
- Balcony
- Parking
- Terrace(s)",
"
- Beach towels (inc. in Bed and household linens fare)
- Bed and household linens
- Concierge service
- Electricity, water, gas
- Internet WIFI",,2,"
- Air fan
- Dining room with dining table
- Hammocks
- Living room","
- Airport transfer
- Cancellation insurance
- Cot + High Chair",5,"Cala'n Bosch, Menorca, Spain, Europe",Villa Julissa,"
- DVD player
- Garden lounge furniture
- Internet access (wifi)
- Swimming pool
- TV",,,,,,"Lovely 5-bedroom villa in Minorca, close to the sea, with a swimming pool","
- Fully equipped kitchen",10,,,"
- Safe deposit box","
- Children welcome",258,"
- Barbecue
- Garden
- Outdoor dining areas
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",258
"
- Bed and household linens
- Electricity, water, gas
- Internet WIFI
- Pool heating",,12,"
- Fireplace in living room
- Hair dryer","
- Cancellation insurance
- Central heating : starting from 61.00 EUR Per Day
- Extra bed : starting from 75.00 EUR",10,"Ponte de Lima, Porto and North, Portugal, Europe",Villa Elana,"
- Billiard / Pool table
- Indoor private swimming pool
- Playroom-Gameroom
- Table football",,,,,,"Charming villa located in Ponte de Lima, 10 bedrooms with bathrooms, private indoor swimming pool, baby-foot, pool table, barbecue, garden","
- Fully equipped kitchen",20 (23 max.),,,,,742,"
- Balcony
- Barbecue
- Garden
- Lounge chairs on the terrace
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",592
"
- Bed and household linens
- Concierge service
- Electricity, water, gas
- Garden maintenance
- Internet WIFI
- Pool maintenance
- Selection of bath products
- Sheets changed every two days
- Welcome hamper",,2,"
- Air conditioning in bedrooms only
- Coffee table
- Dining room
- Hair dryer
- Indoor hot tub
- Living room
- Sofa(s)","
- Airport transfer both ways
- Boat rental
- Car rental
- Chef / Cook
- Horse riding lessons
- Massage
- Pool heating : starting from 100.00 EUR Per Day
- Wine tasting
- Yoga trainer",3,"Heraklion, Crete, Greece, Europe",Villa Azuréa,"
- DVD player
- Flatscreen TV
- Garden lounge furniture
- Hammam
- Hi-fi sound system
- Internet access (wifi)
- Music on CDs
- Outdoor private swimming pool
- Playstation
- Radio
- Satellite or cable or Internet TV
- Sound system
- Soundsystem indoor/outdoor",,,,,,"Superb luxury villa in Heraklion, with 3 bedrooms and 2 bathrooms, garden, an outdoor shower, a private outdoor pool, barbecue and sea view","
- Cooking utensils
- Dishes/Cutlery
- Espresso machine
- Fully equipped kitchen
- Iron
- Kettle
- Microwave
- Refrigerator
- Toaster
- Washing machine",6,,,"
- Safe deposit box
- Security system
- Wine cellar","
- Children welcome",969,"
- Barbecue
- Garden
- Gated community
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Parking
- Pool lounge chairs
- Terrace(s)",1421
"
- Bed and household linens
- Breakfast
- Concierge service
- Daily house cleaning
- Dinner
- Green fees
- Internet WIFI
- Toiletries","
- Airport (40 KM)
- Beach (0.3 KM)
- Golf (2 Minutes Walk)
- Ile aux Cerfs (0.8 KM)
- Restaurants / Shops (2 Minutes Walk)",3,"
- Air conditioning in bedrooms only
- Walk-in closet","
- Cancellation insurance
- Chef / Cook
- Extra bed : starting from 75.00 EUR Per Guest/night
- Extra bed (peak season) : starting from 160.00 EUR Per Guest/night
- Late check-out (additional 50%)
- Pre-stocking at arrival",3,"Anahita, Mauritius East, Mauritius, Africa",Anahita Golf View Prestige Suite,"
- DVD player
- Internet access (wifi)
- Plunge pool
- Satellite or cable or Internet TV
- TV
- TV (all bedrooms)",,,"
- Business centre
- Daily training and sport sessions
- Fitness centre
- Golf (18 holes)
- Pool side restaurants
- Spa
- Tennis courts","
- Fully staffed villa","
- Beach in ten
- Villa on a golf course","Splendid appartment suites with private plunge pools located on the East coast of the island in luxury Anhita resort, 1 to 3 bedrooms with views on the Anahita golf course, golf, beaches, tennis, spa, kids club","
- Fully equipped kitchen
- Nespresso coffee machine",6 (7 max.),,,"
- Safe deposit box","
- Baby cot
- Children welcome
- Extra bed for child available on request",988,"
- Terrace(s)",
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Slippers
- Toiletries
- Welcome hamper","
- Downtown (700 M)
- Ski school (800 M)
- Ski slope : Bellecôte (150 M)
- Skilift : Verdon (250 M)",3,"
- Dining room
- Fireplace
- Private parking space
- Ski locker
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Courchevel 1850, Courchevel, Northern Alps, France, Europe",Appartement Gelinotte 4,"
- Indoor swimming pool
- Internet access (wifi)
- TV","
- This house is self catering",,,"
- Maid","
- Slopes less than 200 m away","Beautiful 3 bedroom apartment, located in the quiet area of Bellecôte on the 3rd floor of Chalet Gelinotte, with swimming pool, cinema room, ski locker and garage.","
- Coffee maker
- Dish washer
- Electric plates
- Fondue set
- Freezer
- Fully equipped kitchen
- Kettle
- Microwave
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster",6,,,"
- Elevator",,929,"
- Balcony",
"
- Bed and household linens
- Electricity, water, gas
- Housecleaning upon departure
- Internet WIFI
- Pool and/or beach towels","
- Beach (3.5 KM)
- Golf (1 KM)
- Closest bus station (1 KM)
- Supermarket (1 KM)
- Lisbon (23 KM)
- Caparica (9 KM)
- Lisboa's airport (29 KM)
- Pharmacy (2 KM)
- Restaurants (1 KM)",3,"
- Private parking space","
- Heating of the house (during cold season) : starting from 30.00 EUR Per Night
- Underfloor heating : starting from 30.00 EUR Per Day",4,"Aroeira, Lisbon region, Portugal, Europe",Villa Muguet,"
- Internet access (wifi)
- Outdoor private swimming pool
- TV",,,,,,"Villa situated in the south of Lisbon, in Aroeira, with 4 bedrooms, 3 bathrooms and an outdoor private swimming pool","
- Coffee maker
- Dish washer
- Fully equipped kitchen
- Microwave
- Washing machine",8,,,,,589,"
- Barbecue
- Outdoor dining table
- Pool lounge chairs",
"
- Concierge service
- Daily house cleaning
- Domestic staff &amp; gardener
- Electricity, water, gas
- Internet WIFI
- Luxury linens and  towels
- Tennis
- Toiletries","
- Airport (25 Minutes by car)
- Golf (10 Minutes by car)
- Gueliz (modern town) (15 Minutes by car)
- Jamaa el Fna square (20 Minutes by car)",7,"
- Air conditioning in bedrooms only
- Covered terrace - Veranda
- Dining room
- Fireplace in dining room
- Living room
- Roof terrace
- Separate staff apartment
- Separate staff entrance","
- Airport transfer
- Breakfast : 16.00 EUR Per Guest
- Cancellation insurance
- Dinner : 37.00 EUR Per Guest
- Extra bed : 60.00 EUR Per Guest/night
- Extra bed for guest up to 12 years old : 35.00 EUR Per Guest/night
- Heating of swimming pool : 150.00 EUR Per Day
- Lunch : 27.00 EUR Per Guest",7,"Palmeraie and nearby, Marrakech, Morocco, Africa",Villa Jnane Salmia,"
- Cards and board games
- Heated outdoor swimming pool
- Internet access (wifi)
- Shared tennis court
- Swimming pools
- Villa has 2 swimming pools",,,,"
- Chef
- Fully staffed villa
- Maid",,"Fully staffed, privately owned luxury villa with 5 bedrooms and 2 bedrooms in the pavilion, 2 swimming pools, heated pool, magnificent gardens, tennis","
- Fully equipped kitchen",14 (18 max.),,,"
- Safe deposit box","
- Baby cot
- Child care and baby sitting on request
- Children meal to order
- Children welcome
- Extra bed for child available on request",,"
- Great private park and garden
- Lounge area on the terrace
- Outdoor dining areas
- Pool lounge chairs
- Terrace(s)",
"
- 1 house staff from 9:00am to noon  (except Sun. and holidays)
- Beach towels
- Bed and household linens
- Electricity, water, gas
- Garden maintenance
- Internet WIFI
- Kayaks available
- Maid service 6 times a week
- Pool maintenance
- Security service
- Welcome hamper","
- Airport (60 Minutes by car)
- Beach (1 Minutes Walk)
- Golf (20 Minutes by car)
- Grand Baie (30 Minutes by car)
- Supermarket (8 Minutes by car)
- Rivière du Rempart (8 Minutes by car)",2,"
- Air conditioning
- Air conditioning in bedrooms only
- Beach / Pool towels
- Dining room
- Hair dryer
- Phone
- Private parking space
- TV lounge","
- Airport transfer
- Boat rental
- Car rental
- Excursions
- Extra person : starting from 17.00 EUR Per Night
- Grocery delivery
- Meals : starting from 7.50 EUR Per Meal",3,"Roches Noires, Mauritius North, Mauritius, Africa",Villa La Rafale,"
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,,"
- Cook
- Fully staffed villa","
- Direct access to the beach
- Direct sea access","Contemporary villa in Mauritius, Roches Noires, direct beach access, with 3 bedrooms and 2 bathrooms, private pool and terrace.","
- Combo fridge - freezer
- Combo washer-dryer
- Cooking utensils
- Dish washer
- Fully equipped kitchen
- Iron
- Ironing board
- Microwave
- Nespresso coffee machine
- Oven",6,,,"
- Safe deposit box",,470,"
- Barbecue
- Garden
- Outdoor dining areas
- Parking
- Pool lounge chairs
- Terrace(s)",175
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries","
- Downtown (800 M)
- Ski school (160 M)
- Skilift : Rochebrune (160 M)
- Ski slope : Grands Champs (160 M)",3,"
- Dining area
- Fireplace
- Living room
- Private parking space
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Megève, Northern Alps, France, Europe",Chalet Giroko,"
- Internet access (wifi)
- SONOS sound system
- TV","
- This house is self catering",,,,"
- Close to ski schools
- Slopes less than 200 m away","Magnificent family chalet located in Megève, 3 bedrooms with bathrooms up to 4 adults and 4 children, balcony, only 160 meters from ski slopes","
- Cooker hood
- Dish washer
- Dryer
- Freezer
- Microwave
- Open-style kitchen
- Oven
- Vitro-ceramic burners
- Washing machine",8,,,,,929,"
- Balcony",1143
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries","
- Downtown (1.3 KM)
- Ski school (1.4 KM)
- Ski slope : Biolley (1 KM)
- Skilift : Village ski lift (1.3 KM)",3,"
- Dining area
- Dining room
- Fireplace
- Indoor hot tub
- Living room
- Private parking space
- Relaxation area
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Saint-Martin-de-Belleville, Northern Alps, France, Europe",Chalet Roc de La Lune,"
- Cards and board games
- Internet access (wifi)
- Sauna
- Shoe warmer
- TV","
- This house is self catering",,,,,"Well equipped 190 sq.m chalet, located in the charming village of Villarabout. Beautiful living room with a through fireplace. Wellness area with jacuzzi, shower and sauna. A beautiful outdoor area with barbecue and table.","
- Blender, mixeur
- Cooker hood
- Dish washer
- Dryer
- Freezer
- Fully equipped kitchen
- Induction stove
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Pierrade
- Raclette
- Refrigerator
- Toaster
- Washing machine",10,,,,,,,
"
- Bed and household linens
- Domestic staff
- Electricity, water, gas
- Housekeeping","
- Airport (40 KM)
- Beach (1 Minutes Walk)
- Grand Baie (42 KM)
- Port Louis (47 KM)
- Supermarket (10 Minutes by car)
- Trou d'Eau Douce (1 KM)",3,,"
- Airport transfer both ways
- Cancellation insurance
- Car rental
- Chef / Cook
- Cook
- Cost of food
- Cost of food (groceries, drinks...)
- Excursions
- Massage
- Pre-stocking at arrival",3,"Trou d'Eau Douce, Mauritius East, Mauritius, Africa",Villa Océane,"
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,,"
- Cook
- Fully staffed property","
- Direct access to the beach
- Direct sea access","Beautiful modern 3 bedroom villa, waterfront, located on the East coast of Mauritius.","
- Dish washer
- Fully equipped kitchen
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator",6,,,"
- Safe deposit box
- Security system",,606,"
- Balcony
- Garden
- Lounge chairs on the terrace
- Outdoor dining table
- Terrace(s)",438
"
- Bed and household linens
- Electricity, water, gas
- Sheets and towels changed once a week
- Tourism development tax
- Welcome drink","
- Airport (11 KM)
- Beach (0.005 KM)
- Small grocery store (0.1 KM)
- Restaurants (0.2 KM)",6,"
- Air conditioning
- Central heating
- Hair dryer
- Roof terrace","
- Baby cot
- Cancellation insurance
- House cleaning - Mandatory : starting from 540.00 EUR Per Booking",6,"Slatine, Dalmatia, Croatia, Europe",Villa Solejo IV,"
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,"
- Fitness centre",,"
- Direct access to the beach
- Direct sea access","Charming villa located in Slatine, Croatia, 6 bedrooms with bathrooms, private pool, large terraces including one on the roof, sea view, only 5 meters away from the beach, access to the fitness room","
- Coffee maker
- Combo fridge - freezer
- Cooking utensils
- Dish washer
- Dishes/Cutlery
- Electric plates
- Fully equipped kitchen
- Iron
- Kettle
- Oven
- Property has 2 kitchens
- Washing machine",12,,,"
- Safe deposit box","
- Children welcome",660,"
- Balcony
- Barbecue
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",1000
"
- Beach towels
- Bed and household linens
- Cook preparing breakfast and 1 meal (lunch or dinner)
- Daily house cleaning
- Domestic staff
- Electricity, water, gas
- Gardener
- Internet WIFI
- Towels","
- Airport (44 KM / 57 Minutes by car)
- Golf (20 Minutes by car)
- Ile aux Cerfs (12 KM / 21 Minutes by car)
- Belle Mare (5.4 KM / 9 Minutes by car)
- Grand Baie (43 KM / 56 Minutes by car)
- Supermarket (13 KM / 19 Minutes by car)
- Anahita Golf Course (12 KM / 20 Minutes by car)
- Trou d'Eau Douce (1.4 KM / 3 Minutes by car)",4,"
- Air conditioning in bedrooms only
- Air fan
- Beach / Pool towels
- Coffee table
- Dining room
- Hair dryer
- Living room
- Phone
- Private parking space
- Sofa(s)
- Terraces
- TV lounge","
- Cancellation insurance
- Child care, Baby sitting
- Cooking lessons of local cuisine
- Cost of food (groceries, drinks...)
- Guardian
- Massage
- Pre-stocking at arrival
- Spa treatments",6,"Trou d'Eau Douce, Mauritius East, Mauritius, Africa",Villa Tourmaline,"
- Garden lounge furniture
- Hi-fi sound system
- Internet access (wifi)
- Outdoor private swimming pool
- Power generator
- Satellite or cable or Internet TV
- TV",,,,"
- Cook
- Fully staffed villa
- Maid","
- Direct access to the beach
- Direct sea access","Beautiful villa of 6 bedrooms in Trou d'Eau Douce, East of Mauritius, direct access to the beach, private pool and staff","
- Dish washer
- Fully equipped kitchen
- Iron
- Nespresso coffee machine
- Property has 2 kitchens
- Washing machine",8 (12 max.),,,"
- Canoé / kayak
- Paddle board
- Safe deposit box
- Security system","
- Children welcome",2750,"
- Barbecue
- Garden
- Lounge chairs on the terrace
- Outside shower
- Parking
- Pool lounge chairs
- Terrace(s)",1000
"
- Bed and household linens
- Breakfast
- Daily house cleaning
- Electricity, water, gas
- Garden/Pool maintenance
- House cleaning upon departure
- Housekeeper
- Internet WIFI
- Pool heating
- Pool towels
- Sauna
- Selection of bath products","
- Airport (339 KM)",12,"
- Air conditioning in the living room
- Central heating
- Conference room
- Fireplace in living room
- Private parking space
- Relaxation area
- Restaurant
- Reverse cycle air conditioner
- TV lounge","
- Airport transfer
- Butler
- Cancellation insurance
- Car with driver
- Chef / Cook
- Concierge service
- Driver
- Extra house cleaning time
- Full board
- Grocery delivery
- Half board
- Hammam
- Lunch
- Massage",12,"Caceres, Extremadura, Spain, Europe",Villa Maxili,"
- Bar
- Books
- Cards and board games
- Hammam
- Internet access (wifi)
- Library
- Massage room
- Massage table
- Outdoor private swimming pool
- Salt filtration pool
- Satellite or cable or Internet TV
- Sauna
- TV",,,,"
- Fully staffed property
- Maid","
- Direct access to the lake","Beautiful 12 bedroom estate, located at the foot of the Sierra de Gata mountains, in the remote valley of Jálama. Breakfast, wellness area, large and beautiful exteriors, garden, terraces and heated outdoor pool.","
- Coffee machine (pod)",24 (25 max.),,,"
- Extinguisher
- Safe deposit box
- Security system
- Smoke detector
- Suitable for wedding and events","
- House not suitable for children",3000,"
- Great private park and garden
- Parking
- Pool house (shower and WC as a minimum)",2500
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries","
- Ski school (200 M)
- Ski slope : Solaise (300 M)
- Skilift : Olympique (300 M)",3,"
- Dining area
- Fireplace
- Living room
- Ski locker
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",4,"Val d'Isere Centre Village, Val d'Isère, Northern Alps, France, Europe",Appartement The Glacier,"
- Blu-Ray DVD player
- Internet access (wifi)
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Close to ski schools
- Slopes less than 300 m away","Elegant and charming apartment located in the center of Val d'Isere, 4 bedrooms, terrace, only 100 meters from ski slopes","
- Coffee maker
- Combined microwave and regular ovens
- Dish washer
- Fondue set
- Freezer
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Refrigerator
- Toaster
- Vacuum cleaner
- Vitro-ceramic burners
- Washing machine",8,,,"
- Elevator",,709,,
"
- Air conditioning
- Bed and household linens
- Cleaning two times per week
- Electricity, water, gas
- Housecleaning upon departure
- Internet WIFI","
- Athens (89 KM / 1.3 Hours by car)",10,"
- Fireplace
- Lounge tent on the terrace
- Private parking space
- Reverse cycle air conditioner","
- Cancellation insurance
- Chef / Cook
- Extra bed : starting from 40.00 EUR Per Guest/night
- Full board
- Half board",10,"Loutraki, Peloponnese, Greece, Europe",Villa Axelis,"
- Bar
- Flatscreen TV
- Internet access (wifi)",,,,,"
- Direct sea access","Beautiful 10 bedroom villa, located in Skaloma. Direct access to the beach, expansive sea views, secluded beach, jacuzzi, large garden, terraces.","
- Freezer
- Fully equipped kitchen
- Refrigerator",20 (25 max.),,,"
- Paddle board","
- Children welcome",2250,"
- Barbecue
- Garden
- Lounge chairs on the terrace
- Outdoor dining areas
- Private beach area
- Summer kitchen
- Terrace(s)",1250
"
- Bed and household linens
- Chef/Cook
- Daily house cleaning
- Domestic staff &amp; gardener
- Electricity, water, gas
- Internet WIFI
- Service charge","
- Airport (159 KM)
- Galle fort (10 KM)
- Tangalle (72 KM)",5,"
- Air conditioning
- Coffee table
- Dining room
- Dining room with dining table
- Hair dryer
- Living room
- Study room or den
- Terraces
- TV lounge","
- Airport transfer
- Cancellation insurance
- Cost of food (groceries, drinks...)",5,"Around Galle, Galle, Sri Lanka, Asia",Villa Sanjaya,"
- Bar
- Children playground
- DVD player
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool
- Ping-Pong table
- Satellite or cable or Internet TV
- TV",,,,"
- Fully staffed villa","
- Direct access to the beach","Spacious beachfront villa situated close to the historic town of Galle, five bedrooms for up to 14 guests (8 adults and 6 children), a large pool, a playground and direct access to one of Sri Lanka's best beaches","
- Fully equipped kitchen",10 (16 max.),,,,"
- Children welcome
- Children’s area",927,"
- Garden
- Lounge chairs on the terrace
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",1236
"
- Concierge service
- Electricity, water, gas
- Pool heating (May to September)","
- Downtown (8 Minutes cycling)
- Golf (1 KM)
- Supermarket (3 KM)
- Biking (3 KM)
- the Petit Bec beach (17 Minutes cycling)
- the forest of Trousse-Chemise (3 Minutes cycling)
- The summer markets (3 KM)
- Nautical Club of Les Portes en Ré (2.5 KM)
- Bus Nouvelle-Aquitaine (3 KM)
- Bakery (3 KM)",4,"
- Dining room
- Fireplace in living room
- Living room
- Terraces","
- Beach towels (inc. in Bed and household linens fare)
- Bed and household linens : 39.00 EUR Per Bed
- Cancellation insurance
- Cot + High Chair : starting from 20.00 EUR Per Week
- Electricity usage (Oct. to April)
- Extra house cleaning time : 40.00 EUR Per Hour",5,"Trousse-Chemise, Les Portes en Ré, Île de Ré, France, Europe",Villa Artemis,"
- Flatscreen TV
- Heated outdoor swimming pool
- Internet access (optic fiber, wifi)
- Ping-Pong table",,,,,"
- Beach in ten","A charming villa in a quiet location in Trousse Chemise, North-West of Ile de Ré, with 5 bedrooms and heated swimming pool","
- Cooker hood
- Cooking utensils
- Dish washer
- Dishes/Cutlery
- Dryer
- Fully equipped kitchen
- Induction stove
- Iron
- Ironing board
- Kettle
- Microwave
- Oven
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",10,,"
- House cleaning upon departure : 300.00 EUR Per Stay
- Tourism development tax : 4.51 EUR Per Guest/night",,"
- Pool safety system",885,"
- Barbecue
- Garden
- Pool lounge chairs
- Terrace(s)",1080
