Properties,Terms and conditions,Max Guests,Facilities,Entertainment,Distances To,Location Description,Kids,Price per night,More information,Address,Name,Services,Sport,Number of Bedrooms,Meals,Transport
"
- Located in one of the warmest regions in Mauritius, where the sun is present all-year long
- Close to some of the best attractions on the island
- Right in front of the turquoise ocean
- Plenty of space to accommodate larger groups
- Classic home comforts to ensure that you feel entirely at ease
- Air-conditioned rooms, perfect for when you’re visiting in the summer
- Private swimming pools for freshening up at the end of the day","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Air conditioningincluded
- BBQ equipment
- Enclosed living room
- Iron and ironing board (extra cost)
- ParkingFree parking on premise
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 44km
- Beach: 10m","With a stay in Esplanade Penthouse, you will be right at the very heart of Black River, one of the sunniest regions in Mauritius. Nestled in a tropical garden, this villa can very easily accommodate larger groups of people looking for accommodation in Mauritius. Because it is located near several quaint stores and restaurants, you will be able to experience the local culture at its best. This complex consists of various units which you can rent together or separately. With a stay at Esplanade Penthouse, you will be just steps from the glistening turquoise lagoon. Best of all, you will be treated to unblemished views of Le Morne Mountain, a unique UNESCO-protected World Heritage Site which is seeped in Mauritian culture.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",659,"
- Pers. max.: 6
- Staff:
- Villa size: 357 m²","Black River, West Mauritius, Mauritius",Esplanade Penthouse,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Security service",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Bicycles available (extra cost)
- Scooter available (extra cost)"
"
- Located on the pristine west coast of Mauritius
- Various facilities and services to enhance your stay
- Close to a cluster of shopping centres and restaurants
- Plenty of room for larger families and groups of friends or colleagues
- Swimming pool overlooking the ocean
- Complimentary welcome pack
- Large common spaces","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",8,"
- Air conditioning(contact us)
- Electricityincluded
- Enclosed living room
- Iron and ironing board
- ParkingFree parking on premise
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 44km
- Beach: 5m","With a stay at Villa Manta Cove, you will be on the pristine west coast, known for its sunny climate virtually all year long. Nestled in the village of Tamarin, this villa is perfect for a romantic escapade or family getaway. Because it has ample room to spare, Villa Manta Cove is also ideal for intimate weddings, birthdays, or similar gatherings. Exquisitely homely with just the right touch of luxury, this villa lies close to some of the best attractions in Mauritius.",,636,"
- Pers. max.: 8
- Staff:
- Villa size: 230 m²","Black River, West Mauritius, Mauritius",Villa Manta Cove,"
- Housekeepingonce every 3 days",,4,"
- Coffee maker
- Fully equipped kitchen
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)"
"
- Beachfront setting with direct view and access to the beach
- A large private garden where you can lounge back and relax as you soak in the sun
- Comfortably accommodates up to 8 people, which is ideal for fun group holidays
- Proximity to some of the most entertaining places in Mauritius","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Late check-out: until 06:00 pm charged 50% of the daily rate (subject to availability)",8,"
- Additional guest (extra cost)(contact us)
- Back-up generator
- BBQ equipment
- CCTV security
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Iron and ironing board
- Outdoor bar
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Safety box
- Terrace
- Wardrobe space
- Wi-Fi Internet","
- Billiard table
- Board games
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 60km
- Beach: 100m","With an open-plan setting that provides dazzling views of the emerald green tropical garden, Villa Beach 4 is located in Pereybere, one of the most pristine coastal villages in Mauritius. In fact, the public beach of Mauritius is globally acclaimed for its silky sands and pristine, almost crystalline waters. Best of all, Villa Beach 4 offers an easy access to the beach, enabling you to make the most of what the island has to offer. Radiating comfort and elegance, with a quaint, tropical-like setting, this villa is also set in a fully secure compound.","
- Baby cot
- Baby high chair",453,"
- Pers. max.: 8
- Staff: 1","Pereybere, Grand Baie & North Mauritius, Mauritius",Villa Beach 4,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Massage (extra cost)
- Security service
- Welcome drinks","
- Kayak available (extra cost)",4,"
- Coffee maker
- Daily breakfastincluded
- Fully equipped kitchen","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- Sea view 3 bedroom apartment
- Private outdoor swimming pool
- Grand terrace with alfresco dining
- En-suite bathrooms for each bedroom","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 44km
- Beach: 50m","Manta Cove Premium Apartments is located in the Mauritian area of Tamarin. Along the West coast, a stunning sea view awaits from the apartment balcony. Just walking distance to restaurants and shops, Manta Cove is ideally located for a tropical holiday with convenience. The 3 bedroom apartment is contemporary and modern with seamless indoor living to create the perfect place to spend time with loved ones. Spacious bedrooms, en-suite bathrooms and a private plunge pool all create a luxurious setting for a family holiday.","
- Baby cot
- Baby high chair",419,"
- Pers. max.: 6
- Staff:
- Villa size: 245 m²","Black River, West Mauritius, Mauritius",Manta Cove Premium Apartment,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Security service",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- A cluster of services and amenities
- Complimentary WiFi throughout the villa
- Plenty of space to comfortably accommodate larger groups
- Fully-equipped kitchen
- Close to one of the most vibrant tourist hubs in Mauritius
- Ample outdoor spaces","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am",6,"
- Back-up generator
- CCTV security
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 57km
- Beach: 600m","A cozy retreat for larger groups of friends, relatives and colleagues, Choisy Garden Villa 2 places you close to the lively Grand Baie city where you can browse through different boutiques or nightclubs. Because it has so much space to spare, this villa is ideal for group vacations and features proximity to the public beach, which means that you’ll be able to go for a swim whenever the mood strikes. Since the villa is self-catering, you can also arrange for your very own home cooked meals. And thanks to the extensive number of services provided, you’ll be able to put up your feet and focus entirely on your holiday.","
- Baby cot
- Babysitter (extra cost)",641,"
- Pers. max.: 6
- Staff: 4
- Villa size: 203 m²
- Garden: 149 m²","Mont Choisy, Grand Baie & North Mauritius, Mauritius",Choisy Garden Villa 2,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Pool maintenance",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Restaurant","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- Large bay windows for ample natural sunlight
- Fully-equipped kitchen for in-house meals
- Private swimming pool
- Unblemished views of the ocean
- Daily housekeeping services
- Extra services upon request
- Direct access to the beach
- Concierge Services
- In-house laundry facilities","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2000 EUR",1,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Iron and ironing board
- ParkingFree parking on premise
- Swimming pool
- Terrace
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 37km
- Beach: 10m","A sophisticated slice of serenity and tranquility perched mere steps from the ocean’s end, Villa Saphir has a capacity for up to twelve guests. Because this property offers direct access to one of the best beaches in Mauritius, you’ll be able to frolic in the warm Indian Ocean whenever the mood strikes. More importantly, the villa offers a wide host of services and amenities to ensure that your vacation in Mauritius goes off without a hitch.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",1806,"
- Pers. max.: 12
- Staff:
- Villa size: 500 m²","Pointe de Flacq, East Mauritius, Mauritius",Villa Saphir,"
- Housekeepingdaily
- Massage (extra cost)
- Villa manager",,6,"
- Coffee maker
- Fully equipped kitchen
- Microwave
- Oven",
"
- Panoramic views of the marina
- Ample space to accommodate groups of up to six persons
- Various facilities available right on the complex grounds
- Within driving distance to some of the best attractions in Mauritius
- Entirely self-contained with an equipped kitchen
- Complimentary housekeeping to ensure your complete relaxation","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",8,"
- Electricityincluded
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- ParkingFree parking on premise
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 42km
- Beach: 50m","Located along a scenic boat canal, West Coast Marina Duplex is beautifully appointed to echo the marina’s soothing tranquility. With awe-inspiring views of neatly moored boats, this villa boasts a modern, open-plan interior with plenty of intimate outdoor space for you to relax in. With four-bedroom options, the West Coast Marina Duplex is well-suited to families and groups of friends of up to eight persons. True to its name, this villa places you on the West Coast of the island, more precisely in the upscale village of Tamarin. This charming area is known for its vibrant entertainment, eating, and shopping options.","
- Baby cot
- Baby high chair",291,"
- Pers. max.: 8
- Staff:
- Villa size: 206 m²","Black River, West Mauritius, Mauritius",West Coast Marina Duplex,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Personal guest assistant
- Welcome drinks","
- Gym equipmentAt the villa
- Kayak available (extra cost)
- Tennis court",4,"
- Coffee maker
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven","
- Airport transfer (extra cost)(contact us)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)"
"
- Luxury residence boasting quintessential Moroccan, Balinese and Mauritian architecture
- Located on the scenic northern coast of the island
- Private access to a stunning stretch of beach
- Lush tropical garden where you can catch some rays
- Completely secure and private parking for your convenience
- Bicycle and kayak rentals for both adults and children alike
- Perfectly appointed to accommodate groups of friends and colleagues or larger families","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Back-up generator
- BBQ equipment
- CCTV security
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wi-Fi Internet","
- Satellite television
- Stereo
- TV
- Video games","
- Sir Seewoosagur Ramgoolam International Airport: 40km
- Beach: 50m","With a stay in Villa Almira, you will be in the beautiful village of Poste Lafayette, in the north east of the island. While the villa boasts plenty of seclusion in its tranquil neighborhood, you will still be within driving distance of some vibrant attractions. Boasting quintessential Moroccan, Balinese and Mauritian architecture, this villa features opulent furnishings with classy wooden fixtures and an undeniable sense of homeliness.
Best of all, Villa Almira places you on a private beach so you can enjoy the gently lapping waves and the warm, silky sand in all intimacy.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",957,"
- Pers. max.: 6
- Staff: 4
- Villa size: 430 m²","Poste Lafayette, East Mauritius, Mauritius",Villa Almira,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry
- Massage (extra cost)
- Pool maintenance
- Security service
- Welcome drinks","
- Gym equipment
- Kayak available",3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- Large green garden with sunbeds and water features
- Large 15m x 2m swimming pool overlooking the ocean
- Terrace with outdoors dining facilities
- Barbecue facilities in the garden
- Around-the-Clock security
- Housekeeping services every day from 9am to 5pm","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2 night(s)",1,"
- BBQ equipment
- Iron and ironing board
- Swimming pool
- Wi-Fi Internet","
- Table tennis table
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 34km
- Beach: 200m","Designed to very comfortably accommodate 14 persons, Villa Santara is ideal for group or family holidays. A mere 3 minutes away from the pristine beaches of Mauritius, this villa is situated in the Southern part of the island, where the emerald greenery clashes magnificently with the sparkling azure ocean. With amenities such as free WiFi and private parking, guests will be able to relax and enjoy every moment of their tropical vacation.","
- Baby cot
- Baby high chair",805,"
- Pers. max.: 14
- Staff: 2
- Villa size: 420 m²","Bel Ombre, South Mauritius, Mauritius",Villa Santara,"
- 24H Security
- Housekeepingservice",,7,"
- Chef (extra cost)
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)"
"
- Luxury accommodation
- Private pool
- Concierge and Security Services
- Daily Housekeeping services
- Wifi
- Parking","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR 500",2,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioningincluded
- Back-up generator
- BBQ equipment
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 58km
- Beach: 1.5km","With everything exquisitely arranged to create the perfect oasis of luxury, relaxation and tranquility, Oasis Villa 1 is ideal for a romantic getaway with your loved one. The perfect setting for honeymooners, this villa offers just about anything you might need to make your stay a memorable one. From comfortable furniture to optimal privacy, Oasis Villa 1 harmoniously blends escapism with a few homely touches, offering the type of setting that might make you never want to leave.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",256,"
- Pers. max.: 2
- Staff:
- Villa size: 102 m²
- Garden: 188 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Oasis Villa 1,"
- 24H Security
- Gardener
- Housekeepingon week days
- Massage (extra cost)
- Personal guest assistant
- Pool maintenance
- Security service
- Welcome drinks",,1,"
- Coffee maker
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- Proximity to a pristine, world class beach where it’s possible to book catamaran and glass bottom cruises
- Several complimentary and paid services to enhance your stay at the penthouse
- Fantastic view of the ocean so you can wake up to mesmerizing sunrises every day
- Sun loungers that are aptly placed in such a way so as to help you work on a perfectly even tan","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR 500",8,"
- Air conditioningincluded
- Enclosed living room
- Iron and ironing board
- ParkingFree parking on premise
- Safety box
- Shared swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 6km
- Beach: 50m","With a stunning view of the azure lagoon of Pointe d’Esny in the south-eastern part of Mauritius, Paradise Beach Penthouse is one of the best places in Mauritius where you can enjoy panoramic views of the lagoon. Indeed, this particular establishment is found in a tranquil neighborhood which is known for being sunny all year long. Because it places you so close to the ocean, this villa offers the perfect setting for visitors who want to indulge in different types of nautical activities such as snorkeling and glass bottom.","
- Baby cot
- Baby high chair",582,"
- Pers. max.: 8
- Staff:
- Villa size: 286 m²","Pointe d'Esny, South Mauritius, Mauritius",Paradise Beach Penthouse,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Personal guest assistant (extra cost)
- Security service",,4,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Restaurant (extra cost)
- Toaster",
"
- Inspired by a stunning tropical setting to create a blissful atmosphere
- Plenty of elegant space spread across two-stories
- Mauritian architecture for a perfect immersion into the local culture
- Various services including daily housekeeping
- underground parking space
- Air-conditioners and ceiling fans to shelter you from the warmer summer climate
- Complimentary wifi and flat-screen television to ensure your entertainment during your stay","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR 500",6,"
- Back-up generator
- Bathrobe
- BBQ equipment (extra cost)
- CCTV security
- Electricityincluded
- Fire extinguisher
- Gazebo
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Safety box
- Swimming pool
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 1.5km","A two-storey establishment nestled in Grand Gaube, Mauritius, Elegance Villa boasts everything that one might want during their holiday in Mauritius. With thoughtful touches such as French power outlets, this villa delivers equal measures of modernity and relaxation. While it boasts a gloriously homely, cosy atmosphere, there’s no denying that Elegance Villa is well-suited for families as well as groups of friends or colleagues looking for the perfect establishment to relax and immerse themselves in the local culture.","
- Baby cot (extra cost)
- Baby high chair
- Babysitter (extra cost)",741,"
- Pers. max.: 6
- Staff: 4
- Villa size: 245 m²
- Garden: 79 m²","Grand Gaube, Grand Baie & North Mauritius, Mauritius",Elegance Villa 3,"
- 24H Security
- Gardener
- Housekeepingdaily
- Laundry (extra cost)
- Massage (extra cost)
- Pool maintenance
- Security service
- Welcome drinks","
- Kayak available (extra cost)",3,"
- Coffee maker
- Daily breakfast (extra cost)(16 EUR/person)
- Dinner (extra cost)(contact us)
- Floating breakfast (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Restaurant (extra cost)
- Room service (extra cost)
- Teppanyaki grill (extra cost)
- Toaster","
- Airport transfer (extra cost)(contact us)
- Bicycles available
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- Two sea view apartment with private living, dining areas
- Pool terrace with pool deck for relaxation
- Located on La Preneuse Beach
- Open-plan living areas with kitchen
- Indoor, outdoor living for best of both worlds","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 640 EUR",6,"
- Air conditioningincluded
- BBQ equipment
- Enclosed living room
- ParkingFree parking on premise
- Shared swimming pool
- Terrace
- Wardrobe space
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 44km
- Beach: 50m","L’Escale is a luxury accommodation along the western coast of beautiful Mauritius on La Preneuse Beach. With stunning turquoise views of the sea, the property comprises two, three-bedroom apartment facing the garden and/or the beach. You and your friends or family can easily head to the sandy shores, enjoy water activities, swim and go on dolphin watching tours. Enjoy the modern comforts and ease of L’Escale where the concierge is available to help you find what you are looking for.",,228,"
- Pers. max.: 6
- Staff:
- Villa size: 138 m²","Black River, West Mauritius, Mauritius",L'Escale Seaview Apartment,,,3,"
- Chef (extra cost)
- Daily breakfast (extra cost)(menu system)
- Dinner (extra cost)(based on menu)
- Lunch (extra cost)(based on menu)","
- Airport transfer (extra cost)(contact us)"
"
- Relaxed aesthetics to create a sense of blissful escapism by the silky shores of the Indian Ocean
- Assortment of services including housekeeping
- Four bedrooms and ample space to accommodate larger groups
- Covered terrace offering splendid views of the tropical surroundings
- Complimentary WiFi connection so you can keep up with your social media","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR 500",8,"
- Back-up generator
- Bathrobe
- BBQ equipment (extra cost)
- CCTV security
- Electricityincluded
- Fire extinguisher
- Gazebo
- Hairdryer
- Household supplies (extra cost)
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 1.5km","With ample room to accommodate up to eight guests, Elegance Villa 4 bedrooms lies close to Grand Gaube beach in a secure complex sprawling across 2.2 acres. Boasting classic home comforts punctuated by just the right touch of luxury, this villa is well-decked out to help you experience Mauritian-style living at its very best. With a tropical garden, gazebo, and private pool, there’s no denying that this tropical retreat is well-suited for getaways with your loved ones, weddings, or even corporate events.","
- Baby cot (extra cost)
- Baby high chair
- Babysitter (extra cost)",907,"
- Pers. max.: 8
- Staff: 5
- Villa size: 276 m²
- Garden: 79 m²","Grand Gaube, Grand Baie & North Mauritius, Mauritius",Elegance Villa 4,"
- 24H Security
- Gardener
- Housekeepingdaily
- Laundry (extra cost)
- Massage (extra cost)
- Pool maintenance
- Security service
- Welcome drinks",,4,"
- Coffee maker
- Daily breakfast (extra cost)(16 EUR/person)
- Dinner (extra cost)(contact us)
- Floating breakfast (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Restaurant (extra cost)
- Room service (extra cost)
- Toaster","
- Airport transfer (extra cost)(contact us)
- Bicycles available
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)"
"
- Beautiful Waterfront Apartment
- Infinity shared swimming pool
- Picturesque outdoors
- BBQ facility","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Iron and ironing board
- ParkingFree parking on premise
- Shared swimming pool
- Terrace
- Wardrobe space
- Washing machine
- Wheelchair access
- Wi-Fi Internet",,"
- Sir Seewoosagur Ramgoolam International Airport: 42km
- Beach: 1.8km","A waterfront property with lush gardens and spacious outdoors, immerse in a tropical getaway at The Waterclub Premium Apartment in Rivière Noire. This 3-bedroom apartment has all the modern amenities to ensure you have a luxurious stay. With classy furnishings, elegant decor, a shared pool, and lush lawns, this holiday home in Mauritius is suited for those who prefer style and comfort. The home offers views of the yachts sailing into the ocean, hinting that you are very close to La Preneuse Beach.",,291,"
- Pers. max.: 6
- Staff:
- Villa size: 216 m²","Black River, West Mauritius, Mauritius",The Waterclub Premium Apartment,"
- Housekeepingonce every 3 days",,3,"
- Coffee maker
- Fully equipped kitchen
- Microwave
- Oven
- Toaster",
"
- Close to the crystalline waters of Mont Choisy public beach
- Delightfully elegant quarters to enhance your sense of relaxation
- Designed to very comfortably accommodate up to ten people
- Plenty of outdoor spaces
- Close to numerous shopping and dining options
- Air-conditioned bedrooms to ensure your comfort, even in the dead of summer.","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Late check-out: until 06:00 pm charged 75% of the daily rate (subject to availability)
- Security deposit: credit card authorization EUR",5,"
- Additional guest(contact us)
- Back-up generator
- CCTV security
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels
- Pool umbrella
- Safety box
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 57km
- Beach: 600m","Redefining holiday-style living at its best, Choisy Penthouse places you near the public beach, where you can easily indulge in an assortment of nautical activities, including boating, snorkeling and glass bottom boat rides. Because of its charming demeanor, this penthouse is ideal for larger group gatherings, including weddings or anniversary parties. In fact, guests will benefit from an array of facilities and services that will ensure a memorable holiday on the island of Mauritius.","
- Baby cot
- Babysitter (extra cost)",251,"
- Pers. max.: 5
- Staff: 4
- Villa size: 150 m²
- Garden: 50 m²","Mont Choisy, Grand Baie & North Mauritius, Mauritius",Choisy Penthouse,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Pool maintenance",,2,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Restaurant (extra cost)","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- Located on the magnificent beach of La Preneuse in Black River, here on the west coast of Mauritius
- Overlooks the turquoise waters of the shimmering sea with the beach just 10m away
- Sumptuously furnished with high-end designer furniture and prized materials like teak wood, faux wood and hand-carved lava stone
- Consists of the main villa building and an independent studio that is also known as the guest house
- Features outstanding outdoor elements like an infinity pool that overlooks the lagoon, massage table, hammam spa, a pizza oven with BBQ and a lovely alfresco dining spot
- The  independent studio or guest house offers the perfect privacy for a couple with its own separate entrance from the parking lot","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2000 EUR",1,"
- Air conditioningincluded
- BBQ equipment
- CCTV security
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Heating(contact us)
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Stereo
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 44km
- Beach: 10m","On the magnificent beach of La Preneuse in Black River, here on the west coast of Mauritius, lies the luxurious and gem of a property called Villa Matahari . With the beach literally at guests’ doorstep and overlooking the turquoise waters of the shimmering sea, this 5-bedroom villa that can sleep up to 10 guests encapsulate the definition of living life to the hilt. It is sumptuously furnished with high-end designer furniture and prized materials like teak wood, faux wood and hand-carved lava stone, as among its most exquisite features both indoors and outdoors. Villa Matahari consists of the main villa building and an independent studio that is also known as the guest house, with a combined living space measuring 400 sq meters spread out in an even bigger garden of 1250 sq meters.","
- Baby cot
- Baby high chair",1369,"
- Pers. max.: 10
- Staff:
- Villa size: 400 m²
- Garden: 1250 m²","Black River, West Mauritius, Mauritius",Villa Matahari,"
- Housekeepingservice
- Laundry
- Villa manager",,5,"
- Coffee maker
- Fully equipped kitchen
- Microwave
- Oven
- Toaster",
